text,sentiment
The shipment to Singapore weighs around 322 grams.,neutral
The shipment to Sydney weighs around 297 grams.,neutral
The shipment to Singapore weighs around 437 grams.,neutral
The product is available in grey and weighs 491 grams.,neutral
An brilliant flight with truly brilliant quality!,positive
A shoddy product with extremely shoddy quality!,negative
The shipment to London weighs around 390 grams.,neutral
The meal produces incredibly great performance!,positive
The experience is super comfortable and fit true to size and feel light.,positive
This comfort exceeded all my expectations and feels exceptionally top-notch.,positive
The service has exceptionally unacceptable performance!,negative
The product is available in white and weighs 285 grams.,neutral
A abysmal display with abysmal quality!,negative
A abysmal acting with exceptionally abysmal quality!,negative
The packaging is completely first-class and fit true to size and feel light.,positive
I am exceptionally unhappy with the unacceptable delivery.,negative
The build quality is exceptionally poor and causes constant crashes and bugs.,negative
This shoes is a complete waste of money and feels completely poor.,negative
The shipment to New York weighs around 451 grams.,neutral
A awful build quality with extremely awful quality!,negative
The shipment to Tokyo weighs around 8 grams.,neutral
The shipment to London weighs around 292 grams.,neutral
The product is available in white and weighs 399 grams.,neutral
This customer support is a complete waste of money and feels incredibly rude.,negative
This shoes is top quality and feels really exceptional.,positive
The product is available in silver and weighs 162 grams.,neutral
This manual fit true to size and feel light and feels completely prompt.,positive
A unacceptable build quality with really unacceptable quality!,negative
The shipment to Berlin weighs around 426 grams.,neutral
I am extremely happy with the great service.,positive
I am super unhappy with the broken customer support.,negative
An amazing performance with really amazing quality!,positive
The product is available in red and weighs 37 grams.,neutral
A overpriced camera with completely overpriced quality!,negative
I am really happy with the great build quality.,positive
This camera deserves five stars and feels super extraordinary.,positive
The delivery is extremely top-notch and deserves five stars.,positive
This food makes life so much easier and feels totally awesome.,positive
The phone produces really outstanding performance!,positive
A cold acting with cold quality!,negative
The shipment to Singapore weighs around 199 grams.,neutral
An excellent phone with super excellent quality!,positive
The shipment to Sydney weighs around 289 grams.,neutral
The product is available in red and weighs 280 grams.,neutral
The shipment to Toronto weighs around 157 grams.,neutral
The acting has completely cold performance!,negative
The storyline produces exceptionally outstanding performance!,positive
The shipment to New York weighs around 21 grams.,neutral
The shipment to London weighs around 381 grams.,neutral
I am completely unhappy with the terrible shoes.,negative
The flight produces prompt performance!,positive
A faulty battery backup with absolutely faulty quality!,negative
The product is available in red and weighs 191 grams.,neutral
The shipment to Berlin weighs around 123 grams.,neutral
The product is available in silver and weighs 296 grams.,neutral
The product is available in red and weighs 313 grams.,neutral
An sublime packaging with completely sublime quality!,positive
The product is available in blue and weighs 64 grams.,neutral
The packaging is incredibly durable and exceeded all my expectations.,positive
This packaging gave me a headache and feels super atrocious.,negative
The product is available in silver and weighs 416 grams.,neutral
The comfort is extremely clunky and gave me a headache.,negative
This display is a delight to use and feels very lovely.,positive
This storyline makes life so much easier and feels incredibly amazing.,positive
The shipment to Chicago weighs around 139 grams.,neutral
I am truly unhappy with the cold camera.,negative
The product is available in green and weighs 7 grams.,neutral
I am totally happy with the masterpiece delivery.,positive
This customer support is a complete waste of money and feels completely shoddy.,negative
The storyline produces super extraordinary performance!,positive
The shipment to Toronto weighs around 497 grams.,neutral
An awesome product with totally awesome quality!,positive
The customer support has really worthless performance!,negative
I am absolutely happy with the unbeatable screen.,positive
A cold performance with really cold quality!,negative
This room is completely unhelpful and rude and feels absolutely awful.,negative
A substandard product with extremely substandard quality!,negative
The app is really buggy and stopped working after two days.,negative
The shipment to Paris weighs around 237 grams.,neutral
A rude shoes with super rude quality!,negative
This display exceeded all my expectations and feels extremely impressive.,positive
I am exceptionally unhappy with the worthless battery life.,negative
A overpriced food with overpriced quality!,negative
An amazing comfort with amazing quality!,positive
